amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
7,51,0,3,zscore,0.96,1.204196121477636,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
7,51,0,0,zscore,0.96,0.419136251502617,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,41,0,5,zscore,0.96,0.8118567710845277,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,41,0,0,amplify,0.96,2.2864824656387954,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,41,0,3,zscore,0.94,0.5116694363931287,0.3103448275862069,0.8181818181818182,0.45000000000000007,9,20,2,29
11,41,0,3,zscore,0.94,0.6155404258132283,0.3103448275862069,0.8181818181818182,0.45000000000000007,9,20,2,29
11,51,0,3,zscore,0.94,0.6183450312618086,0.3103448275862069,0.8181818181818182,0.45000000000000007,9,20,2,29
11,41,0,5,zscore,0.94,0.4893056529209272,0.3103448275862069,0.8181818181818182,0.45000000000000007,9,20,2,29
13,51,0,3,zscore,0.94,0.5469551570108361,0.3103448275862069,0.8181818181818182,0.45000000000000007,9,20,2,29
7,51,0,0,zscore,0.93,0.23557291830358948,0.29411764705882354,0.9090909090909091,0.4444444444444445,10,24,1,34
11,51,0,0,zscore,0.93,0.32445077567690694,0.29411764705882354,0.9090909090909091,0.4444444444444445,10,24,1,34
11,51,0,0,none,0.95,2.045290432983173,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
11,51,0,0,amplify,0.95,2.1517435682248855,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
11,51,0,3,zscore,0.95,0.6484678780839874,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
13,51,0,0,none,0.95,2.1904368999465222,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
9,51,0,3,zscore,0.95,0.8858993007545842,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
13,51,0,0,amplify,0.95,2.1367310103068373,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
9,41,0,3,zscore,0.95,0.897112899905654,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
13,41,0,5,zscore,0.95,0.6521112654726697,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
11,41,0,3,zscore,0.95,0.6755328370364773,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
11,41,0,5,zscore,0.95,0.6111160265381236,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
7,51,0,0,amplify,0.95,2.0728973048774657,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
9,51,0,0,amplify,0.95,2.126281676113791,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
13,31,0,3,zscore,0.95,0.637963985607799,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
9,51,0,0,none,0.95,2.0308750949601726,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
11,31,0,3,zscore,0.95,0.780944108840968,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
