amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,21,1,0.9,1.0946116077650738,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
9,21,0,0.9,1.08212808460394,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
5,21,1,0.9,1.0401031581377953,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
9,27,0,0.8,0.6684253912381904,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
3,27,0,0.8,0.7010853482924265,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
11,27,0,0.8,0.6645373119325378,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
7,21,1,0.9,0.9744753609081843,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
3,31,0,0.8,0.7099411950857941,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
5,31,0,0.8,0.7222415816715858,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
7,21,0,0.9,1.084528954913481,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
7,7,1,0.95,1.370601588322992,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
11,15,1,0.95,1.7485341300555812,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
5,15,1,0.95,1.401734667678128,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
11,7,1,0.95,1.5409919969890864,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
9,7,1,0.95,1.4273650898551558,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
7,15,1,0.95,1.5766094624719031,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
7,21,0,0.95,1.415237544541625,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
3,7,1,0.95,1.4236296594778448,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
3,15,1,0.95,1.5033228593163896,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
9,15,1,0.95,1.6755372545587692,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
11,21,0,0.95,1.4864453871960328,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
11,15,0,0.95,1.340489965703234,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
5,7,1,0.95,1.34286469076718,0.12,0.2727272727272727,0.16666666666666666,3,22,8,25
11,31,1,0.85,0.7819494591716569,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
9,21,1,0.85,0.7020276875899454,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
9,27,1,0.85,0.7587918726487826,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
7,27,1,0.85,0.7637354100673375,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
11,27,1,0.85,0.8007442407089853,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
3,21,0,0.85,0.8485533376786116,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
9,21,0,0.85,0.7989402524979315,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
3,27,1,0.85,0.7878013985734971,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
5,27,1,0.85,0.7572203122823504,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
11,21,0,0.85,0.8497411693158887,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
5,21,1,0.85,0.7051734150206151,0.0958904109589041,0.6363636363636364,0.16666666666666663,7,66,4,73
7,15,1,0.92,1.0976156729071016,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
5,15,1,0.92,1.1709982215296966,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
9,21,1,0.92,1.2434920831018492,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
5,21,1,0.92,1.232716270176112,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
5,21,0,0.92,1.2078637664406175,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
11,15,1,0.92,1.2578430425406109,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
11,21,0,0.92,1.233241810505839,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
3,15,1,0.92,1.2397176154106593,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
3,21,0,0.92,1.1966230028024127,0.10256410256410256,0.36363636363636365,0.16,4,35,7,39
7,15,0,0.97,1.444082561836976,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
9,15,1,0.97,2.0991703280880243,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
11,21,0,0.97,1.7177324013057218,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
9,21,0,0.97,1.595153319898693,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
11,15,1,0.97,2.275027938191289,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
5,15,1,0.97,2.0188167430526005,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
3,11,1,0.97,1.5650362114342853,0.13333333333333333,0.18181818181818182,0.15384615384615383,2,13,9,15
